# Akka Code Lines	% of Modified Code	% of Code Size	Modified TAkka Lines	TAkka Code Lines	log_10 (Akka)	log_10 (TAkka_M)	log_10 (TAkka)
38	26.31578947	102.6315789	10	39	1.579783597	1	1.591064607
38	28.94736842	107.8947368	11	41	1.579783597	1.041392685	1.612783857
235	2.553191489	100.4255319	6	236	2.371067862	0.7781512504	2.372912003
93	8.602150538	101.0752688	8	94	1.968482949	0.903089987	1.973127854
93	10.75268817	107.5268817	10	100	1.968482949	1	2
201	11.44278607	107.4626866	23	216	2.303196057	1.361727836	2.334453751
129	9.302325581	100	12	129	2.11058971	1.079181246	2.11058971
125	6.4	104	8	130	2.096910013	0.903089987	2.113943352
101	8.910891089	100	9	101	2.004321374	0.9542425094	2.004321374
98	8.163265306	103.0612245	8	101	1.991226076	0.903089987	2.004321374
146	13.69863014	100	20	146	2.164352856	1.301029996	2.164352856
1148	17.33449477	101.0452962	199	1160	3.059941888	2.298853076	3.064457989
2850	6.035087719	100.9824561	172	2878	3.45484486	2.235528447	3.45909079
67	19.40298507	100	13	67	1.826074803	1.113943352	1.826074803
189	12.16931217	100	23	189	2.276461804	1.361727836	2.276461804
250	17.2	100	43	250	2.397940009	1.633468456	2.397940009
274	25.18248175	100	69	274	2.437750563	1.838849091	2.437750563
754	13.79310345	99.60212202	104	751	2.877371346	2.017033339	2.875639937
1916	11.11691023	99.63465553	213	1909	3.282395505	2.328379603	3.280805928
5024	4.518312102	99.86066879	227	5017	3.701049631	2.356025857	3.700444101
1635	6.788990826	99.26605505	111	1623	3.213517757	2.045322979	3.21031852
27095	0.05536076767	100	15	27095	4.432889155	1.176091259	4.432889155
