# 10 rounds with FreeBench

# Number of Nodes	Akka Throughput	STDDEV	TAkka Throughput	STDDEV
1			10.3		0.61	10.0 		0.80
2			14.8		1.26	15.7		1.31
3			17.6		2.89	16.9		2.18
4			18.8		2.42	18.8 		1.84
5			20.9		2.18	21.4		2.34
6			24.0		2.95	23.0		2.91
7			26.4		3.58	26.0		3.27
8			27.7 		3.14	26.9		3.56		
9			27.6		3.82	27.1  		3.70
10			28.8		3.96	28.6		3.73
11			29.7 		3.91	28.5		3.63
12			29.1		4.41	28.7 		3.20
13			29.8		5.49	29.2		4.94
14			29.7		5.88	27.1		5.24
15			29.4		5.49	28.4		5.34
16			30.2		5.89	31.6 		5.44

