# 10 rounds with FreeBench

# Number of Nodes	Akka Throughput	STDDEV	TAkka Throughput	STDDEV
1			19.2		1.60	18.8		1.53
2			19.9 		1.51	20.2		1.99
3			20.3		1.73	20.3		2.86
4			22.1 		2.47	22.2		2.78
5			25.5		2.32	24.8 		2.65
6			26.0		2.59	27.0		2.24
7			27.6		2.64	28.2		2.40
8			29.0		2.10	28.3		1.74
9			28.9		2.25	28.3		2.87
10			29.6		2.04	28.7		1.21
11			29.1		2.20	29.8 		2.24		
12			30.9		2.49	31.5		2.67
13			31.0		2.02	31.6 		2.44
14			33.4 		2.82	33.4		3.17
15			34.8 		3.06	34.9		3.27
16			36.5		3.68	35.7		3.48

