# Akka Code Lines	% of Modified Code	% of Code Size	Modified TAkka Lines	TAkka Code Lines	New Lines	Update Lines	Delete Lines	log_10 (Akka)	log_10 (TAkka_M)	log_10 (TAkka)	% Add	% Update	% Delete
25	44.00	88.00	11	22	0	5	3	1.40	1.04	1.34	0.00	20.00	12.00
38	26.32	102.63	10	39	1	9	0	1.58	1.00	1.59	2.63	23.68	0.00
38	28.95	84.21	11	32	1	3	7	1.58	1.04	1.51	2.63	7.89	18.42
74	14.86	100.00	11	74	0	11	0	1.87	1.04	1.87	0.00	14.86	0.00
235	2.55	100.00	6	235	0	6	0	2.37	0.78	2.37	0.00	2.55	0.00
93	8.60	101.08	8	94	0	8	0	1.97	0.90	1.97	0.00	8.60	0.00
93	10.75	107.53	10	100	0	10	0	1.97	1.00	2.00	0.00	10.75	0.00
201	11.44	107.46	23	216	0	23	0	2.30	1.36	2.33	0.00	11.44	0.00
129	9.30	100.00	12	129	0	12	0	2.11	1.08	2.11	0.00	9.30	0.00
125	6.40	104.00	8	130	0	8	0	2.10	0.90	2.11	0.00	6.40	0.00
101	8.91	100.00	9	101	0	9	0	2.00	0.95	2.00	0.00	8.91	0.00
98	8.16	103.06	8	101	3	5	0	1.99	0.90	2.00	3.06	5.10	0.00
146	13.70	100.00	20	146	0	20	0	2.16	1.30	2.16	0.00	13.70	0.00
1148	17.33	101.05	199	1160	12	187	0	3.06	2.30	3.06	1.05	16.29	0.00
2850	6.04	100.98	172	2878	7	165	0	3.45	2.24	3.46	0.25	5.79	0.00
67	19.40	100.00	13	67	0	13	0	1.83	1.11	1.83	0.00	19.40	0.00
189	12.17	100.00	23	189	0	23	0	2.28	1.36	2.28	0.00	12.17	0.00
250	17.20	100.00	43	250	0	43	0	2.40	1.63	2.40	0.00	17.20	0.00
274	25.18	100.00	69	274	0	69	0	2.44	1.84	2.44	0.00	25.18	0.00
754	13.79	99.60	104	751	0	101	3	2.88	2.02	2.88	0.00	13.40	0.40
1916	11.12	99.63	213	1909	0	213	7	3.28	2.33	3.28	0.00	11.12	0.37
5024	4.52	99.86	227	5017	0	227	0	3.70	2.36	3.70	0.00	4.52	0.00
1635	6.79	99.27	111	1623	0	99	12	3.21	2.05	3.21	0.00	6.06	0.73
27095	0.06	100.00	15	27095	0	15	0	4.43	1.18	4.43	0.00	0.06	0.00
